"","ano_trimestre","mes_central","region","r_p_c","estrato","tipo","conglomerado","id_upm","id_identificacion","idrph","ano_encuesta","mes_encuesta","hogar","nro_linea","edad","sexo","parentesco","curso","nivel","termino_nivel","est_conyugal","proveedor","nacionalidad","a1","a2","a3","a4","a5","a6","a6_otro","a6_otro_covid","a6_orig","a7","a8","a9","b1","b2","b3","b4","b5","b6","b7a_1","b7a_2","b7a_3","b7b_1","b7b_2","b7b_3","b7b_4","b8","b9","b10","b11_proxy","b12","b13_rev4cl_caenes","i1","i2","i3","i3_v","i4","i5","i6","i7","b14_rev4cl_caenes","b15_1","b15_2","b16","b16_otro","b16_otro_covid","b16_orig","b17_mes","b17_ano","b18_region","b18_varias","b18_codigo","b19","c2_1_1","c2_1_2","c2_1_3","c2_2_1","c2_2_2","c2_2_3","c3_1","c3_2","c3_3","c4","c5","c6","c7","c8","c9","c9_otro","c9_otro_covid","c9_orig","c10","c11","c12","e2","e3_1","e3_2","e3_3","e3_4","e3_5","e3_6","e3_7","e3_8","e3_9","e3_10","e3_11","e3_12","e3_total","e4","e5","e5_dia","e5_sem","e5_mes","e5_ano","e6_mes","e6_ano","e7","e9","e9_otro","e9_otro_covid","e9_orig","e10","e11","e12","e12_otro","e12_otro_covid","e12_orig","e13","i11","i12","i13_1","i13_2","i13_3","i13_4","i13_5","i13_6","i13_7","i13_8","i13_9","i13_10","i13_11","i13_88","i13_99","i13_total","e21_mes","e21_ano","e21_tramo","e22","e23","e23_otro","e24","e24_otro","cae_general","cae_especifico","categoria_ocupacion","habituales","efectivas","cine","r_p_rev4cl_caenes","sector","ocup_form","tramo_edad","activ","fact_cal"
"978",2021,1,11,11101,11011,1,11101000110569,11101000110569,76215,9216011,2021,1,1,2,54,2,2,4,4,1,1,0,0,1,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,5,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,3,1,1,7,1,2,1,"",NA,1,2,2018,11,1,11101,2,4,6,24,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,"",NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1,1,2,24,24,5,7,1,1,8,1,125.173468443761
"979",2021,1,4,4303,4300220,3,430320010,430320010,48460,981131,2021,1,1,1,82,1,1,4,3,2,1,1,0,2,2,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"",NA,5,NA,2,6,"",NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,2012,4,2,NA,"",3,"",9,17,0,NA,NA,3,NA,NA,NA,12,3,43.1183094075255
"980",2021,1,9,9105,9059,3,90599105184,90599105184,70331,108907033,2020,12,1,1,65,2,1,4,3,2,1,1,0,2,2,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"",NA,7,NA,2,8,"",NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2020,1,8,NA,"",NA,"",9,19,0,NA,NA,3,NA,NA,NA,11,3,159.464448873715
"981",2021,1,13,13119,13100512,1,1311910071,1311910071,51047,29277112,2021,2,1,2,26,2,4,5,9,2,3,0,0,2,2,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,2,1,1,NA,"",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2020,1,3,NA,"",NA,"",6,10,0,NA,NA,7,NA,NA,NA,3,3,572.875493749489
"982",2021,1,6,6115,6100310,1,611510037,611510037,56384,30462112,2021,2,1,4,2,2,4,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",0,0,0,NA,NA,1,NA,NA,NA,NA,NA,231.674930255667
"983",2021,1,6,6101,6011,1,6101000052221,6101000052221,70873,45014013,2020,12,1,3,10,2,4,3,3,2,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",0,0,0,NA,NA,3,NA,NA,NA,NA,NA,315.147191407784
"984",2021,1,6,6302,6300110,1,630210010,630210010,47108,15953111,2021,1,1,1,58,1,1,8,3,1,1,1,0,1,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,9,2,NA,NA,2,NA,2,2,2,2,2,88,2,2,1,1,1,1,NA,88,2,4,0,NA,NA,NA,NA,1,3,NA,8,"",NA,8,11,2020,6,1,6302,2,8,6,48,NA,NA,NA,8,6,48,NA,2,NA,2,NA,NA,"",NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,1,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",NA,"",1,1,3,48,48,4,1,2,2,9,1,201.927563762609
"985",2021,1,7,7307,7039,3,70397307913,70397307913,67447,129351,2020,12,1,2,60,2,2,3,3,2,1,0,0,2,2,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"",NA,3,NA,1,NA,"",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2019,3,2,NA,"",3,"",8,12,0,NA,NA,3,NA,NA,NA,10,3,65.6443912356439
"986",2021,1,3,3101,3100113,1,310110014,310110014,78188,173469,2021,1,1,6,5,2,6,1,2,2,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",0,0,0,NA,NA,2,NA,NA,NA,NA,NA,221.72129375597
"987",2021,1,10,10301,10041,1,10301000103944,10301000103944,65881,109712013,2020,12,1,3,6,1,4,1,2,2,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",0,0,0,NA,NA,2,NA,NA,NA,NA,NA,43.537364174902
"988",2021,1,7,7304,7039,3,70397304109,70397304109,53271,25602032,2021,2,1,5,4,1,4,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",0,0,0,NA,NA,1,NA,NA,NA,NA,NA,95.9466256502971
"989",2021,1,4,4201,4082,2,408242012229,408242012229,68021,44917023,2020,12,1,1,45,2,1,5,9,1,3,1,0,1,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,2,2,NA,NA,1,NA,1,1,1,1,1,1,1,1,2,NA,1,1,NA,1,1,1,0,NA,NA,NA,NA,15,5,NA,1,"",NA,1,88,1997,4,1,4201,2,888,5,44,NA,NA,NA,888,5,44,NA,2,NA,2,NA,NA,"",NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1,1,4,44,44,7,15,1,1,7,1,104.87607613926
"990",2021,1,16,16207,16200120,3,1620720004,1620720004,80182,176338,2021,1,1,1,75,1,1,0,0,2,1,1,0,2,2,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"",NA,8,NA,2,8,"",NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,1995,4,3,NA,"",NA,"",9,21,0,NA,NA,1,NA,NA,NA,12,3,90.6638622522667
"991",2021,1,15,15101,15000012,1,1510110041,1510110041,81217,181618,2021,2,1,3,10,1,4,5,3,2,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",0,0,0,NA,NA,3,NA,NA,NA,NA,NA,123.843229743997
"992",2021,1,4,4102,4011,1,4102000183949,4102000183949,75847,13500011,2021,1,1,2,35,2,2,4,4,1,1,0,0,2,2,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"",NA,3,NA,2,4,"",NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2016,4,3,NA,"",NA,"",9,13,0,NA,NA,5,NA,NA,NA,5,3,476.830933518808
