"";"ano_trimestre";"mes_central";"region";"r_p_c";"estrato";"tipo";"conglomerado";"id_identificacion";"idrph";"ano_encuesta";"mes_encuesta";"hogar";"nro_linea";"edad";"sexo";"parentesco";"curso";"nivel";"termino_nivel";"est_conyugal";"proveedor";"nacionalidad";"a1";"a2";"a3";"a4";"a5";"a6";"a6_otro";"a6_otro_covid";"a6_orig";"a7";"a8";"a9";"b1";"b2";"b3";"b4";"b5";"b6";"b7a_1";"b7a_2";"b7a_3";"b7b_1";"b7b_2";"b7b_3";"b7b_4";"b8";"b9";"b10";"b11_proxy";"b12";"b13_rev4cl_caenes";"i1";"i2";"i3";"i3_v";"i4";"i5";"i6";"i7";"b14_rev4cl_caenes";"b15_1";"b15_2";"b16";"b16_otro";"b16_otro_covid";"b16_orig";"b17_mes";"b17_ano";"b18_region";"b18_varias";"b18_codigo";"b19";"c2_1_1";"c2_1_2";"c2_1_3";"c2_2_1";"c2_2_2";"c2_2_3";"c3_1";"c3_2";"c3_3";"c4";"c5";"c6";"c7";"c8";"c9";"c9_otro";"c9_otro_covid";"c9_orig";"c10";"c11";"c12";"e2";"e3_1";"e3_2";"e3_3";"e3_4";"e3_5";"e3_6";"e3_7";"e3_8";"e3_9";"e3_10";"e3_11";"e3_12";"e3_total";"e4";"e5";"e5_dia";"e5_sem";"e5_mes";"e5_ano";"e6_mes";"e6_ano";"e7";"e9";"e9_otro";"e9_otro_covid";"e9_orig";"e10";"e11";"e12";"e12_otro";"e12_otro_covid";"e12_orig";"e13";"i11";"i12";"i13_1";"i13_2";"i13_3";"i13_4";"i13_5";"i13_6";"i13_7";"i13_8";"i13_9";"i13_10";"i13_11";"i13_88";"i13_99";"i13_total";"e21_mes";"e21_ano";"e21_tramo";"e22";"e23";"e23_otro";"e23_otro_covid";"e23_orig";"e24";"e24_otro";"e24_otro_covid";"e24_orig";"ocup_honorarios";"orig1";"orig2";"orig3";"mig1";"mig2_cod";"mig3_cod";"mig4";"mig5_cod";"mig6_cod";"cae_general";"cae_especifico";"categoria_ocupacion";"habituales";"efectivas";"cine";"r_p_rev4cl_caenes";"sector";"ocup_form";"tramo_edad";"activ";"fact_cal"
"12";2021;6;7;7301;7011;1;"730100100310";74336;1208282148;2021;7;1;6;3;2;6;0;0;1;0;0;152;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;"";NA;NA;NA;2;NA;"";4;NA;NA;1;NA;NA;0;0;0;NA;NA;1;NA;NA;NA;NA;NA;175,145636294425
"13";2021;6;8;8101;8041;1;"810100100125";75828;282440571;2021;7;1;1;53;1;1;7;3;2;5;1;152;2;2;NA;NA;2;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;"OPCION 9 IMPACTO PANDEMIA";1;22;NA;1;NA;"";NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;88;2015;4;3;NA;"";NA;NA;NA;"";NA;NA;NA;2;NA;"";1;NA;NA;1;NA;NA;8;25;0;NA;NA;4;NA;NA;NA;8;3;78,6815952720265
"14";2021;6;7;7101;7100112;1;"11783";101183;92391473;2021;5;1;1;31;1;1;4;4;1;2;1;152;1;NA;1;NA;NA;NA;"";NA;NA;NA;NA;NA;8;2;NA;NA;2;NA;1;1;1;1;1;1;1;1;2;NA;1;1;NA;1;1;1;0;NA;NA;NA;NA;3;5;NA;88;"";NA;88;88;2016;7;1;7101;2;9;5;45;NA;NA;NA;9;5;45;NA;2;NA;2;NA;NA;"";NA;NA;2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;"";NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;"";NA;NA;2;2;NA;"";1;NA;NA;1;NA;NA;1;1;3;45;45;5;3;1;1;4;1;326,678481521558
"15";2021;6;1;1405;1032;2;"103214054";52519;898024044;2021;5;1;1;69;2;2;4;3;2;1;1;152;2;2;NA;NA;2;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;"";NA;8;NA;2;8;"";NA;8;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;"";NA;NA;NA;1;2;"";1;NA;NA;2;1404;NA;9;21;0;NA;NA;3;NA;NA;NA;11;3;20,0625434233787
"16";2021;6;11;11201;11100210;1;"14026";82439;738663942;2021;5;1;1;57;2;1;6;3;2;3;1;152;1;NA;1;NA;NA;NA;"";NA;NA;NA;NA;NA;9;2;NA;NA;3;1;2;2;2;1;2;2;2;2;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;NA;NA;NA;"";NA;NA;4;2021;11;1;11201;2;6;3;18;NA;NA;NA;6;3;18;NA;2;NA;2;NA;NA;"";NA;NA;1;4;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;"";NA;NA;NA;77;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;"";NA;NA;2;1;1;"";1;NA;NA;2;99999;NA;1;1;5;18;18;3;20;3;2;9;1;36,6648341394318
"17";2021;6;6;6108;6100112;1;"36486";79959;147236980;2021;7;1;4;16;1;4;1;4;2;3;0;152;2;2;NA;NA;2;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;"";NA;4;NA;2;3;"";NA;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;"";NA;NA;NA;2;NA;"";1;NA;NA;1;NA;NA;9;15;0;NA;NA;5;NA;NA;NA;1;3;213,92007975111
"18";2021;6;6;6204;6200220;3;"30086";45863;1107182065;2021;7;1;3;26;2;7;4;4;1;2;0;152;2;2;NA;NA;2;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;"";NA;3;NA;2;4;"";NA;4;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;2016;4;2;NA;"";NA;NA;2;"";NA;2;NA;2;NA;"";1;NA;NA;1;NA;NA;9;13;0;NA;NA;5;NA;NA;NA;3;3;106,398526069614
"19";2021;6;14;14108;14100310;1;"18742";59377;1451489664;2021;5;1;1;50;1;1;4;4;1;1;1;152;2;2;NA;NA;2;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21;"";NA;21;NA;NA;NA;"";NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;2021;1;1;9;"";NA;9;NA;"";NA;NA;NA;2;NA;"";1;NA;NA;1;NA;NA;9;24;0;NA;NA;5;NA;NA;NA;8;3;163,149472484269
"20";2021;6;16;16103;16100111;1;"33764";59920;1032105202;2021;5;1;3;24;2;4;1;7;2;3;0;152;2;2;NA;NA;2;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;"";NA;4;NA;2;3;"";NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2020;2;3;NA;"";NA;NA;NA;"";NA;NA;NA;2;NA;"";1;NA;NA;1;NA;NA;9;15;0;NA;NA;6;NA;NA;NA;2;3;102,280181184655
"21";2021;6;13;13301;13471;1;"1330100100102";52967;477463532;2021;5;1;1;52;2;1;8;3;1;3;1;152;2;2;NA;NA;2;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;"POR COVID 19 CUARENTENA";1;22;NA;2;13;"CUARENTENA DE COVID 19";1;13;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2021;1;9;NA;"";NA;NA;NA;"";NA;NA;NA;2;NA;"";1;NA;NA;1;NA;NA;9;28;0;NA;NA;4;NA;NA;NA;8;3;104,546682449811
